districtid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
PY_Yanam,53,120,6,14
RJ_Ajmer,73,117,5,14
RJ_Alwar,40,117,5,14
RJ_Banswara,49,116,6,13
RJ_Baran,50,118,6,14
RJ_Barmer,40,121,5,14
RJ_Bharatpur,27,122,3,14
RJ_Bhilwara,47,119,5,14
RJ_Bikaner,61,117,7,14
RJ_Bundi,50,118,6,14
RJ_Chittorgarh,73,121,8,14
RJ_Churu,73,120,7,14
RJ_Dausa,66,122,8,14
RJ_Dholpur,44,116,5,14
RJ_Dungarpur,20,122,8,14
RJ_Ganganagar,68,121,8,14
RJ_Hanumangarh,72,118,8,14
RJ_Jaipur,58,120,7,14
RJ_Jaisalmer,73,120,8,14
RJ_Jalore,56,119,4,14
RJ_Jhalawar,48,118,6,14
RJ_Jhunjhunu,68,121,8,14
RJ_Jodhpur,73,119,7,14
RJ_Karauli,59,121,7,14
RJ_Kota,53,115,6,14
RJ_Nagaur,73,121,8,14
RJ_Pali,41,118,5,14
RJ_Pratapgarh,48,120,6,14
RJ_Rajsamand,56,120,6,14
RJ_Sawai Madhopur,73,120,6,14
RJ_Sikar,66,121,5,14
RJ_Sirohi,73,116,8,14
RJ_Tonk,72,117,7,14
RJ_Udaipur,73,121,5,14
TN_Ariyalur,44,125,5,14
TN_Chengalpattu,38,124,5,14
TN_Chennai,31,123,4,14
TN_Coimbatore,56,126,7,14
TN_Cuddalore,49,123,6,14
TN_Dharmapuri,55,125,7,15
TN_Dindigul,50,125,5,14
TN_Erode,47,126,6,15
TN_Kallakurichi,38,126,6,15
TN_Kancheepuram,39,123,5,14
TN_Kanyakumari,39,123,5,14
TN_Karur,55,126,6,14
TN_Krishnagiri,61,123,7,14
TN_Madurai,33,125,4,14
TN_Mayiladuthurai,73,138,8,16
TN_Nagapattinam,50,126,6,15
TN_Namakkal,59,126,7,15
TN_Nilgiris,56,127,7,15
TN_Perambalur,44,125,5,14
TN_Pudukkottai,45,125,5,14
TN_Ramanathapuram,33,126,4,14
TN_Ranipet,37,125,5,14
TN_Salem,48,128,7,15
TN_Sivaganga,36,124,4,14
TN_Tenkasi,42,124,5,14
TN_Thanjavur,57,125,5,15
TN_Theni,43,124,5,14
TN_Thiruvallur,38,124,5,14
TN_Thiruvarur,55,124,6,15
TN_Thoothukkudi,38,124,4,14
TN_Tiruchirappalli,39,126,5,14
TN_Tirunelveli,41,122,5,14
TN_Tirupathur,53,125,5,14
TN_Tiruppur,53,127,6,15
TN_Tiruvannamalai,40,125,5,14
TN_Vellore,35,124,4,14
TN_Viluppuram,48,126,6,15
TN_Virudhunagar,38,125,4,14
TR_Dhalai,52,137,6,16
TR_Gomati,55,140,6,16
TR_Khowai,51,129,6,15
TR_North Tripura,57,131,6,15
TR_Sipahijala,51,124,6,15
TR_South Tripura,56,124,6,16
TR_Unokoti,54,139,6,16
TR_West Tripura,51,124,6,14
UP_Agra,54,116,6,14
UP_Aligarh,50,119,6,14
UP_Ambedkar Nagar,52,116,6,14
UP_Amethi,51,116,6,14
UP_Amroha,56,119,6,14
UP_Auraiya,50,115,6,14
UP_Ayodhya,51,116,6,14
UP_Azamgarh,42,119,5,14
UP_Baghpat,52,119,6,14
UP_Bahraich,42,116,5,14
UP_Ballia,41,115,5,14
UP_Balrampur,54,117,5,14
UP_Banda,50,116,6,13
UP_Barabanki,51,115,6,14
UP_Bareilly,43,117,6,14
UP_Basti,43,116,5,14
UP_Bhadohi,41,116,6,14
UP_Bijnor,49,117,6,14
UP_Budaun,46,119,6,14
UP_Bulandshahr,53,120,6,14
UP_Chandauli,52,116,6,14
UP_Chitrakoot,50,117,6,14
UP_Deoria,46,119,5,14
UP_Etah,52,117,6,14
UP_Etawah,51,115,6,14
UP_Farrukhabad,57,115,7,14
UP_Fatehpur,58,116,6,14
UP_Firozabad,51,117,6,14
UP_Gautam Buddha Nagar,51,119,6,14
UP_Ghaziabad,56,117,6,14
UP_Ghazipur,43,117,5,14
UP_Gonda,45,116,5,14
UP_Gorakhpur,51,117,6,14
UP_Hamirpur,48,117,6,14
UP_Hapur,55,120,6,14
UP_Hardoi,52,117,6,14
UP_Hathras,48,121,6,14
UP_Jalaun,40,118,6,14
UP_Jaunpur,40,116,5,14
UP_Jhansi,52,117,6,14
UP_Kannauj,41,117,7,14
UP_Kanpur Dehat,50,115,6,14
UP_Kanpur Nagar,53,116,6,13
UP_Kasganj,50,117,6,14
UP_Kaushambi,52,115,6,13
UP_Kushinagar,43,118,5,14
UP_Lakhimpur Kheri,53,115,6,14
UP_Lalitpur,49,116,6,14
UP_Lucknow,53,114,6,13
UP_Maharajganj,48,121,6,14
UP_Mahoba,70,118,8,14
UP_Mainpuri,52,117,6,14
UP_Mathura,53,117,6,14
UP_Mau,49,116,6,14
UP_Meerut,55,120,6,14
UP_Mirzapur,41,115,5,14
UP_Moradabad,52,117,6,14
UP_Muzaffarnagar,53,119,6,14
UP_Pilibhit,43,120,5,14
UP_Pratapgarh,52,119,6,14
UP_Prayagraj,51,115,6,13
UP_Rae Bareli,53,115,6,13
UP_Rampur,48,119,6,14
UP_Saharanpur,51,119,6,14
UP_Sambhal,53,118,6,14
UP_Sant Kabir Nagar,40,117,5,14
UP_Shahjahanpur,50,119,6,14
UP_Shamli,54,120,6,14
UP_Shrawasti,45,117,5,14
UP_Siddharthnagar,43,119,5,14
UP_Sitapur,45,115,6,14
UP_Sonbhadra,51,117,6,14
UP_Sultanpur,43,116,5,14
UP_Unnao,51,117,6,14
UP_Varanasi,42,115,5,13
UT_Almora,55,122,8,14
UT_Bageshwar,54,123,6,14
UT_Chamoli,69,124,8,14
UT_Champawat,56,119,6,14
UT_Dehradun,53,120,6,14
UT_Haridwar,53,121,6,14
UT_Nainital,53,121,6,14
UT_Pauri Garhwal,55,122,6,14
UT_Pithoragarh,73,126,6,14
UT_Rudraprayag,67,122,8,14
UT_Tehri Garhwal,58,122,6,14
UT_Udham Singh Nagar,54,122,6,14
UT_Uttarkashi,58,121,7,14
WB_Alipurduar,48,125,7,14
WB_Bankura,66,123,6,14
WB_Birbhum,66,120,7,14
WB_Cooch Behar,64,125,7,14
WB_Dakshin Dinajpur,45,119,5,14
WB_Darjeeling,64,124,8,14
WB_Hooghly,64,123,8,14
WB_Howrah,41,123,5,14
WB_Jalpaiguri,64,125,8,14
WB_Jhargram,61,125,7,14
WB_Kalimpong,61,125,7,14
WB_Kolkata,68,118,8,14
WB_Malda,65,116,5,14
WB_Murshidabad,65,117,5,14
WB_Nadia,65,124,7,14
WB_North 24 Parganas,69,123,8,14
WB_Paschim Bardhaman,65,119,6,14
WB_Paschim Medinipur,65,123,6,14
WB_Purba Bardhaman,64,119,7,14
WB_Purba Medinipur,67,123,6,14
WB_Purulia,53,116,7,14
WB_South 24 Parganas,65,123,5,14
WB_Uttar Dinajpur,45,119,6,14
